
=== 2026-09-19T02:50:23.997Z  node index.js --config thesisExperiment/configs/phase2/T2d_H_echo_chamber_biodiversity_food_security.json
Loaded run config from: thesisExperiment/configs/phase2/T2d_H_echo_chamber_biodiversity_food_security.json

[Simulation] Experiment: T2d_H_echo_chamber_biodiversity_food_security_2026-09-19_02-50-24
[Simulation] Dir: /workspace/thesisExperiment/runs_phase2/T2d_H_echo_chamber_biodiversity_food_security_2026-09-19_02-50-24


[Simulation] === Propagating: scopex_2017 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   No propagation at tick 1, stopping.

[Simulation] === Propagating: chemtrails_gates_2018_2021 ===
[Simulation]   Tick 1/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 2/8
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 3/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_1 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 4/8
[Simulation]     node_0 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_2 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_3 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]     node_4 (Biodiversity and food-security concern (Debnath ecology/food terms)): 3 message(s)
[Simulation]     node_5 (Biodiversity and food-security concern (Debnath ecology/food terms)): 2 message(s)
[Simulation]     node_6 (Biodiversity and food-security concern (Debnath ecology/food terms)): 3 message(s)
[Simulation]     node_7 (Biodiversity and food-security concern (Debnath ecology/food terms)): 1 message(s)
[Simulation]   Tick 5/8
